"title_description","base_salary"
"TRAFFIC ENFORCEMENT AGENT","47185.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","46234.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","46234.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","55942.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","38712.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"CRIME ANALYST","63667.00"
"CRIME ANALYST","63667.00"
"CRIME ANALYST","63667.00"
"POLICE OFFICER","55942.00"
"CRIME ANALYST","63667.00"
"CRIME ANALYST","63667.00"
"CRIME ANALYST","61663.00"
"CRIME ANALYST","63667.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"CITY CUSTODIAL ASSISTANT","42898.00"
"INTELLIGENCE RESEARCH SPECIALIST-PD","74204.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE ADMINISTRATIVE AIDE","42288.00"
"SCHOOL SAFETY AGENT","39206.00"
"SCHOOL SAFETY AGENT","40502.00"
"SCHOOL SAFETY AGENT","40502.00"
"SCHOOL SAFETY AGENT","40502.00"
"SCHOOL SAFETY AGENT","40502.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"SCHOOL SAFETY AGENT","40502.00"
"INVESTIGATOR","55437.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","53790.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","53790.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","53790.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"CITY CUSTODIAL ASSISTANT","39970.00"
"PSYCHOLOGIST","95211.00"
"INTELLIGENCE RESEARCH SPECIALIST-PD","85133.00"
"CITY CUSTODIAL ASSISTANT","39970.00"
"CRIME ANALYST","63667.00"
"CRIME ANALYST","61663.00"
"CRIME ANALYST","59867.00"
"CRIME ANALYST","63667.00"
"CRIME ANALYST","63667.00"
"INTELLIGENCE RESEARCH SPECIALIST-PD","77589.00"
"CRIME ANALYST","61663.00"
"SCHOOL SAFETY AGENT","39206.00"
"PHOTOGRAPHER","51446.00"
"PHOTOGRAPHER","51446.00"
"CRIME ANALYST","63667.00"
"MEDIA SERVICES TECHNICIAN","48170.00"
"COMMUNITY ASSISTANT","39970.00"
"POLICE ATTENDANT","43207.00"
"CITY RESEARCH SCIENTIST","81991.00"
"CITY RESEARCH SCIENTIST","105819.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"SCHOOL SAFETY AGENT","39206.00"
"POLICE OFFICER","55942.00"
"STOCK WORKER","42664.00"
"COMPUTER ASSOCIATE","82149.00"
"COMPUTER ASSOCIATE","82149.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","57976.00"
"POLICE OFFICER","55942.00"
"POLICE ATTENDANT","43207.00"
"POLICE ATTENDANT","43207.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","55942.00"
"POLICE COMMUNICATIONS TECHNICIAN","45704.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","45811.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","45811.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","45811.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","45811.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"POLICE OFFICER","55942.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"TRAFFIC ENFORCEMENT AGENT","47621.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","120442.00"
"POLICE OFFICER","55942.00"
"LIEUTENANT","141684.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","134819.00"
"SERGEANT-","97894.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","154751.00"
"P.O. DA DET GR3","119980.00"
"P.O. DET SPEC","119980.00"
"SUPERVISING POLICE COMMUNICATIONS TECHNICIAN","79731.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","105146.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","134819.00"
"LIEUTENANT","149518.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","135511.00"
"POLICE OFFICER","109352.00"
"P.O. DET SPEC","119980.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","121048.00"
"SERGEANT-","118056.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","134819.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","97894.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","54862.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SUPERVISOR OF SCHOOL SECURITY","81237.00"
"POLICE OFFICER","109352.00"
"SUPERVISOR OF SCHOOL SECURITY","81237.00"
"SCHOOL SAFETY AGENT","53264.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SUPERVISOR OF SCHOOL SECURITY","81237.00"
"P.O. DA DET GR3","119980.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"P.O. DA DET GR3","119314.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"ASSOC SPVR OF SCHOOL SECURITY","95556.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"COMMUNITY ASSISTANT","40866.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","57976.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"P.O. DA DET GR3","119980.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"ASSISTANT COUNSEL-PD","131014.00"
"LIEUTENANT D/A SPECIAL ASSIGNMENT","170234.00"
"ADMINISTRATIVE STAFF ANALYST","100533.00"
"SCHOOL SAFETY AGENT","56508.00"
"POLICE OFFICER","109352.00"
"SCHOOL SAFETY AGENT","56508.00"
"P.O. DA DET GR3","119314.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","118056.00"
"SERGEANT-","105606.00"
"SUPERVISOR OF MECHANICS","140840.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","57976.00"
"SCHOOL SAFETY AGENT","56508.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","61376.00"
"P.O. DA DET GR3","119314.00"
"INTELLIGENCE RESEARCH SPECIALIST-PD","127849.00"
"LIEUTENANT","141684.00"
"P.O. DA DET GR3","119980.00"
"POLICE COMMUNICATIONS TECHNICIAN","61883.00"
"STAFF ANALYST","87531.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"ADMINISTRATIVE STAFF ANALYST","102667.00"
"POLICE OFFICER","55942.00"
"FITNESS INSTRUCTOR","53679.00"
"PARALEGAL AIDE","70247.00"
"LIEUTENANT","141684.00"
"POLICE ADMINISTRATIVE AIDE","48631.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","58758.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","63455.00"
"POLICE ADMINISTRATIVE AIDE","54763.00"
"POLICE OFFICER","109352.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","68733.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","58707.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","62027.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","66398.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","58758.00"
"P.O. DA DET GR3","119980.00"
"POLICE ADMINISTRATIVE AIDE","57773.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","105606.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","55942.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","141684.00"
"P.O. DA DET GR3","119980.00"
"P.O. DET SPEC","119980.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","134819.00"
"CAPTAIN","157515.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT D/A COMMANDER OF DETECTIVE SQUAD","170234.00"
"P.O. DET SPEC","119980.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","154751.00"
"SERGEANT-","118056.00"
"SERGEANT-","118056.00"
"SERGEANT-","118056.00"
"LIEUTENANT D/A SPECIAL ASSIGNMENT","156098.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","154751.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","134819.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","142202.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","118056.00"
"CAPTAIN","160722.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","141684.00"
"P.O. DA DET GR3","119980.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","121048.00"
"SERGEANT-","118056.00"
"SERGEANT-","118056.00"
"LIEUTENANT","154751.00"
"P.O. DET SPEC","119248.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","120442.00"
"P.O. DA DET GR3","119980.00"
"SERGEANT-","96477.00"
"P.O. DA DET GR3","119314.00"
"P.O. DA DET GR3","119980.00"
"LIEUTENANT","142202.00"
"POLICE OFFICER","109352.00"
"P.O. DET SPEC","119980.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"P.O. DET SPEC","119980.00"
"P.O. DA DET GR3","119248.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","118056.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","134819.00"
"SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD","135511.00"
"POLICE OFFICER","109352.00"
"CAPTAIN","194689.00"
"LIEUTENANT","141684.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","118056.00"
"POLICE OFFICER","109352.00"
"SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD","121048.00"
"LIEUTENANT","154751.00"
"SERGEANT-","118056.00"
"P.O. DA DET GR3","119980.00"
"LIEUTENANT","141684.00"
"P.O. DA DET GR3","119980.00"
"POLICE OFFICER","109352.00"
"P.O. DA DET GR3","119980.00"
"P.O. DA DET GR3","119980.00"
"P.O. DA DET GR3","119980.00"
"POLICE OFFICER","109352.00"
"SERGEANT-","118056.00"
"POLICE OFFICER","109352.00"
"P.O. DET SPEC","119980.00"
"SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD","135511.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","154751.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","154751.00"
"POLICE OFFICER","109352.00"
"CAPTAIN","157537.00"
"POLICE OFFICER D/A DETECTIVE 2ND GR","130260.00"
"SERGEANT-","97894.00"
"LIEUTENANT D/A COMMANDER OF DETECTIVE SQUAD","157713.00"
"POLICE OFFICER","109352.00"
"P.O. DA DET GR3","119980.00"
"P.O. DA DET GR3","119980.00"
"P.O. DA DET GR3","119980.00"
"LIEUTENANT","142202.00"
"SERGEANT-","118056.00"
"P.O. DA DET GR3","119980.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT","154751.00"
"P.O. DA DET GR3","115923.00"
"P.O. DET SPEC","119980.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"P.O. DET SPEC","119248.00"
"LIEUTENANT","142202.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","120744.00"
"LIEUTENANT","154751.00"
"P.O. DA DET GR3","119429.00"
"POLICE OFFICER","109352.00"
"POLICE OFFICER","109352.00"
"LIEUTENANT D/A SPECIAL ASSIGNMENT","156098.00"
"LIEUTENANT","154751.00"
