"title_description","base_salary"
"EXECUTIVE AGENCY COUNSEL","188966.00"
"CHILD PROTECTIVE SPECIALIST","62043.00"
"SPECIAL OFFICER","56508.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","55507.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","244039.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"COMMUNITY COORDINATOR","79527.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CLERICAL ASSOCIATE MOST MAYORAL AG","43899.00"
"ADMINISTRATIVE STAFF ANALYST","104023.00"
"CONGREG CARE SPEC - ACS","49657.00"
"COMMUNITY COORDINATOR","70022.00"
"SPECIAL OFFICER","56508.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ADMINISTRATIVE MANAGER","263497.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"YOUTH DEVELOPMENT SPECIALIST","57310.00"
"DIRECTOR OF FIELD OPERATIONS","128299.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"CHILD WELFARE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CITY RESEARCH SCIENTIST","124218.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","110118.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD WELFARE SPECIALIST SUPERVISOR","83015.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","61376.00"
"COMMUNITY COORDINATOR","73349.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","79527.00"
"YOUTH DEVELOPMENT SPECIALIST","66173.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","93586.00"
"COMMUNITY COORDINATOR","72298.00"
"YOUTH DEVELOPMENT SPECIALIST","55507.00"
"ADMINISTRATIVE STAFF ANALYST","132472.00"
"PROGRAM EVALUATOR","74781.00"
"CHILD PROTECTIVE SPECIALIST","65921.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","128409.00"
"YOUTH DEVELOPMENT SPECIALIST","67525.00"
"ACCOUNTANT","83318.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","73349.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","72298.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","47132.00"
"ADMINISTRATIVE STAFF ANALYST","124080.00"
"ASSOCIATE STAFF ANALYST","91394.00"
"COMMUNITY COORDINATOR","72298.00"
"CHILD WELFARE SPECIALIST","60428.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","77660.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","81347.00"
"SUPERVISING SPECIAL OFFICER","62864.00"
"YOUTH DEVELOPMENT SPECIALIST","68537.00"
"SPECIAL OFFICER","39322.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ADM MANAGER-NON-MGRL","79496.00"
"YOUTH DEVELOPMENT SPECIALIST","50001.00"
"INSTITUTIONAL AIDE","40223.00"
"YOUTH DEVELOPMENT SPECIALIST","65236.00"
"COMMUNITY COORDINATOR","72298.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","65559.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","83209.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","83209.00"
"YOUTH DEVELOPMENT SPECIALIST","68537.00"
"YOUTH DEVELOPMENT SPECIALIST","57310.00"
"YOUTH DEVELOPMENT SPECIALIST","69720.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","83167.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CITY RESEARCH SCIENTIST","127666.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","69720.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"ASSOCIATE STAFF ANALYST","91464.00"
"COMMUNITY ASSOCIATE","51227.00"
"COMMUNITY COORDINATOR","72298.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"AGENCY ATTORNEY","127802.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"STRATEGIC INITIATIVE SPECIALIST","198557.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"COMPUTER ASSOCIATE","57790.00"
"CHILD PROTECTIVE SPECIALIST","62043.00"
"CHILD AND FAMILY SPECIALIST","103448.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"ADMINISTRATIVE STAFF ANALYST","98635.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"ADMINISTRATIVE STAFF ANALYST","150000.00"
"CHILD PROTECTIVE SPECIALIST","65921.00"
"EXECUTIVE AGENCY COUNSEL","180688.00"
"COMPUTER ASSOCIATE","80708.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD AND FAMILY SPECIALIST","97593.00"
"SPECIAL OFFICER","39206.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","143192.00"
"SUPERVISING SPECIAL OFFICER","72246.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"EXECUTIVE AGENCY COUNSEL","169248.00"
"DIRECTOR OF PUBLIC INFORMATION","130592.00"
"AGENCY ATTORNEY","133373.00"
"YOUTH DEVELOPMENT SPECIALIST","57310.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","63726.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","193340.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"EXECUTIVE AGENCY COUNSEL","160418.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","148689.00"
"COMMUNITY COORDINATOR","77116.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"CHILD PROTECTIVE SPECIALIST","62043.00"
"YOUTH DEVELOPMENT SPECIALIST","57310.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","65921.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","112515.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD WELFARE SPECIALIST SUPERVISOR","78315.00"
"YOUTH DEVELOPMENT SPECIALIST","69720.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE","106889.00"
"COMPUTER SPECIALIST","126906.00"
"YOUTH DEVELOPMENT SPECIALIST","68537.00"
"COMPUTER SYSTEMS MANAGER","185590.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","72298.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","103614.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","81537.00"
"COMMUNITY COORDINATOR","82194.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"EXECUTIVE AGENCY COUNSEL","203623.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"SPECIAL OFFICER","36955.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","67356.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","67356.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"COMPUTER SPECIALIST","120342.00"
"ASSOCIATE STAFF ANALYST","91394.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","107291.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","77026.00"
"CONGREG CARE SPEC - ACS","69726.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"ADM MANAGER-NON-MGRL","91847.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"ADM MANAGER-NON-MGRL","79496.00"
"CONGREG CARE SPEC - ACS","69804.00"
"YOUTH DEVELOPMENT SPECIALIST","69720.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ASSOCIATE STAFF ANALYST","91394.00"
"INVESTIGATOR","92120.00"
"DIRECTOR OF FIELD OPERATIONS","129583.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"COMMUNITY COORDINATOR","87157.00"
"CUSTODIAN","70522.00"
"CHILD PROTECTIVE SPECIALIST","65921.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","75971.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","150412.00"
"COMPUTER SPECIALIST","109518.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"SUPERVISOR I","68422.00"
"COMMUNITY COORDINATOR","88753.00"
"ADMINISTRATIVE STAFF ANALYST","106770.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","61376.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD AND FAMILY SPECIALIST","97593.00"
"EXECUTIVE AGENCY COUNSEL","167531.00"
"EXECUTIVE AGENCY COUNSEL","182329.00"
"YOUTH DEVELOPMENT SPECIALIST","55507.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","68672.00"
"CITY RESEARCH SCIENTIST","81991.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","73625.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"DIRECTOR OF FIELD OPERATIONS","152581.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CITY RESEARCH SCIENTIST","103973.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"COMMUNITY COORDINATOR","82194.00"
"CHILD PROTECTIVE SPECIALIST","64232.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"COMMUNITY COORDINATOR","72298.00"
"CHILD PROTECTIVE SPECIALIST","58482.00"
"ADMINISTRATIVE STAFF ANALYST","177464.00"
"SUPERVISOR I","72298.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","78084.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"TELECOMMUNICATIONS ASSOCIATE","74503.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CLERICAL ASSOCIATE MOST MAYORAL AG","47100.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMPUTER ASSOCIATE","68452.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","94079.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CASEWORKER","55437.00"
"YOUTH DEVELOPMENT SPECIALIST","50797.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","67356.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"ADM MANAGER-NON-MGRL","90042.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","61376.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","48545.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD AND FAMILY SPECIALIST","97593.00"
"ASSOCIATE INVESTIGATOR","92120.00"
"AGENCY ATTORNEY","131963.00"
"AGENCY ATTORNEY","104045.00"
"AGENCY ATTORNEY","133373.00"
"AGENCY ATTORNEY","122365.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PROGRAM EVALUATOR","90641.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","74688.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"COMMUNITY COORDINATOR","78081.00"
"COMMUNITY COORDINATOR","76636.00"
"ACCOUNTANT","74855.00"
"SPECIAL OFFICER","36955.00"
"YOUTH DEVELOPMENT SPECIALIST","69720.00"
"ADMIN COMMUNITY RELATIONS SPECIALIST","104859.00"
"CONGREG CARE SPEC - ACS","57346.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"DIRECTOR OF FIELD OPERATIONS","119635.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"ADM MANAGER-NON-MGRL","95002.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"AGENCY ATTORNEY","94113.00"
"COMMUNITY COORDINATOR","83142.00"
"DEPUTY DIRECTOR OF ADMINISTRATION","110633.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","81537.00"
"COMMUNITY COORDINATOR","88511.00"
"COMMUNITY COORDINATOR","72298.00"
"YOUTH DEVELOPMENT SPECIALIST","57779.00"
"YOUTH DEVELOPMENT SPECIALIST","69720.00"
"ADMINISTRATIVE PROCUREMENT ANALYST","155023.00"
"CUSTODIAN","45224.00"
"CONGREG CARE SPEC - ACS","49657.00"
"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE","106889.00"
"COMPUTER SPECIALIST","133952.00"
"COMMUNITY ASSOCIATE","51227.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"DIRECTOR OF FIELD OPERATIONS","128299.00"
"ASSOCIATE STAFF ANALYST","91394.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE","106889.00"
"YOUTH DEVELOPMENT SPECIALIST","68537.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"ASSOCIATE STAFF ANALYST","105103.00"
"STAFF ANALYST","69631.00"
"YOUTH DEVELOPMENT SPECIALIST","64994.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"INVESTIGATOR","80469.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","102602.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"YOUTH DEVELOPMENT SPECIALIST","52320.00"
"CHILD AND FAMILY SPECIALIST","94522.00"
"CHILD AND FAMILY SPECIALIST","97593.00"
"CHILD PROTECTIVE SPECIALIST","58482.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","55507.00"
"ADM MANAGER-NON-MGRL","79496.00"
"CONGREG CARE SPEC - ACS","49657.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"COMMUNITY COORDINATOR","72298.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST","75270.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","67356.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","61376.00"
"SUPERVISING SPECIAL OFFICER","72246.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"ADM MANAGER-NON-MGRL","90041.00"
"ASSOCIATE STAFF ANALYST","91394.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","72123.00"
"AGENCY ATTORNEY","109767.00"
"CITY RESEARCH SCIENTIST","110120.00"
"COMMUNITY ASSOCIATE","51227.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","68672.00"
"YOUTH DEVELOPMENT SPECIALIST","48545.00"
"CITY RESEARCH SCIENTIST","89435.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","273442.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"ASSOCIATE STAFF ANALYST","99390.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"COMMUNITY COORDINATOR","74467.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","136065.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"PROGRAM EVALUATOR","88793.00"
"COMPUTER SYSTEMS MANAGER","121053.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY ASSOCIATE","55400.00"
"CUSTODIAN","49834.00"
"CHILD WELFARE SPECIALIST","68229.00"
"STAFF ANALYST","83168.00"
"MANAGEMENT AUDITOR","95559.00"
"YOUTH DEVELOPMENT SPECIALIST","68537.00"
"CUSTODIAN","46664.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","68537.00"
"YOUTH DEVELOPMENT SPECIALIST","55507.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","81711.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
